id,city,hotel_name,hotel_rating,comment,comment_rating
1,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
2,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
3,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
4,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
5,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
6,"Bangkok","Millennium Hilton Bangkok",8.4,"ทุกอย่างดีหมด สมกับเป็นโรงแรมหรู แต่ขอติที่จอดรถใต้ดินค่อนข้างมืด อับ และไม่ค่อยสะอาด และมีการปิดปรับปรุงบางส่วนของสระว่",9.0
7,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
8,"Bangkok","Millennium Hilton Bangkok",8.4,"Great location",9.0
9,"Bangkok","Millennium Hilton Bangkok",8.4,"Good",7.0
10,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
11,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
12,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
13,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
14,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
15,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
16,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
17,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
18,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
19,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
20,"Bangkok","Millennium Hilton Bangkok",8.4,"All g",10
21,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
22,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
23,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
24,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
25,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
26,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
27,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
28,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
29,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
30,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
31,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
32,"Bangkok","Millennium Hilton Bangkok",8.4,"โดยรวมประทับใจ พึงพอใจกับสถานที่และการให้บริการ แนะนำให้ลองมาใช้บริการ",9.0
33,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
34,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
35,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
36,"Bangkok","Millennium Hilton Bangkok",8.4,"Good service",10
37,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
38,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
39,"Bangkok","Millennium Hilton Bangkok",8.4,"Comfortable room with nice river view.",9.0
40,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
41,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
42,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
43,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
44,"Bangkok","Millennium Hilton Bangkok",8.4,"Exceptional",10
45,"Bangkok","Millennium Hilton Bangkok",8.4,"ห้องพัก สะดวกสบาย  สะอาดตา และ รักษาห้องให้ดูเหมือนเป็นห้องใหม่ไว้ได้ แม้ว่าในสถานการณ์ที่ยากเช่นนี้",10
46,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
47,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
48,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
49,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
50,"Bangkok","Millennium Hilton Bangkok",8.4,"思い出に残るロマン",9.0
51,"Bangkok","Millennium Hilton Bangkok",8.4,"Superb",9.0
52,"Bangkok","Millennium Hilton Bangkok",8.4,"Very good",8.0
53,"Bangkok","Millennium Hilton Bangkok",8.4,"Идеальная поездка",10
