id,city,hotel_name,hotel_rating,comment,comment_rating
1,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"A very good weekend stay",8.0
2,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
3,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
4,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
5,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
6,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
7,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
8,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
9,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
10,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Weekend madness",5.0
11,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"I really enjoy the service of the staff and will definitely come back for another staycation.",8.0
12,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
13,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
14,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
15,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
16,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
17,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
18,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Pleasant",6.0
19,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Stellar hospitality",10
20,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
21,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Great customer service experience!",10
22,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Value for money. The services provided were great with helpful &amp; attentive staff",7.0
23,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
24,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",7.0
25,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Na",9.0
26,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
27,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
28,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
29,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
30,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",7.0
31,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
32,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
33,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Pleasant",6.0
34,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
35,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
36,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
37,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
38,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good experience,value for money",8.0
39,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"We enjoyed every moments during our stay being located in the heart of Kuala Lumpur.",10
40,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Everything was great except it was overcrowded for a normally quiet high class hotel.",7.0
41,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
42,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
43,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
44,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
45,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
46,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
47,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
48,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
49,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very poor",2.0
50,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
51,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"The perfect 10",10
52,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
53,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",7.0
54,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Excellent",10
55,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
56,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
57,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
58,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
59,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
60,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
61,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
62,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
63,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"85%",8.0
64,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
65,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Excellent relaxing little break. Great staff and food.",9.0
66,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
67,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",7.0
68,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Luxury staycation &amp; relaxing",9.0
69,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Covid Staycation",9.0
70,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",8.0
71,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Excellent.The staffs went out of way to assist me as i was recovering from my knee surgery",10
72,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
73,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
74,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
75,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
76,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
77,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
78,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Staycation for our son’s 1st Birthday",8.0
79,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
80,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
81,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Excellent Staycation!",10
82,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
83,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",7.0
84,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
85,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Superb",9.0
86,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
87,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"MO more",8.0
88,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good but not perfect",8.0
89,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
90,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
91,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Very good",8.0
92,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"will comeback again!",10
93,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Nice short holiday for my family and I.",8.0
94,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"This is my third visit to MO and their services still tip top",9.0
95,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Good",7.0
96,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
97,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Worth every penny!",10
98,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Nice &amp; comfortable",8.0
99,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Exceptional",10
100,"Kuala Lampur","Mandarin Oriental,Kuala Lumpur",9.1,"Recommended 👍🏻",10
101,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"It was wonderful to wake up to KL skyline view from the bed. The perfect and unforgettable stay!",10
102,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Great Staycation with Twin Towers View",8.0
103,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Exceptional",10
104,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Exceptional",10
105,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Pleasant",6.0
106,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"No word to describe for my styaing here,all is perfect and awesome!!! Great Job",8.0
107,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Ok",5.0
108,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Exceptional",10
109,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Superb",9.0
110,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Exceptional",10
111,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Very good",8.0
112,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Very good",8.0
113,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Great customer service,awesome view!",10
114,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Undeniably WORTHWHILE!",10
115,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"amazing",10
116,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Exceptional",10
117,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Great staycation experience...",9.0
118,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Memorable",9.0
119,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Very good",8.0
120,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"PR",5.0
121,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"Superb",9.0
122,"Kuala Lampur","Grand Hyatt Kuala Lumpur",9.1,"A nice place to indulge and looking over city view",10
